POPULATION;NOIND;periode_reference;conso_ca;conso_ca_regl;conso_ca_nb;conso_ca_regl_nb;indic_ca;indic_medic;indic_ni;saison_particuliere;saison_automne;saison_hiver;saison_printemps;saison_ete;saison_autre;saison_autre_libelle;saison_nsp
Pop1 Individu;115602401;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
Pop1 Individu;115602801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115603201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115604601;4;1;1;2;2;0;1;1;1;1;;;;;                                                            ;
Pop1 Individu;115700101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115700201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115700401;4;1;1;1;1;1;0;0;1;;;;;1;QUAND JE  ME  SENS  FAIBLE  ET FATIGUE  A CAUSE  DU STRESS  ;
Pop1 Individu;115700501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115701101;4;1;1;3;3;1;2;0;1;1;;1;;;                                                            ;
Pop1 Individu;115701701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115702401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115702501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115702701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115703401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115703501;4;1;2;1;;0;1;0;1;1;;1;;;                                                            ;
Pop1 Individu;115704201;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;115800101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115800401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115801501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115900401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115900901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115901201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115901401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115902801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115902901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115903101;4;1;1;2;2;0;1;1;1;;1;;;;                                                            ;
Pop1 Individu;115903301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115904601;4;1;1;2;2;1;1;0;1;;1;;;;                                                            ;
Pop1 Individu;115904701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115905101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115905201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115905301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115906301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115906701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115907001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115908101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115908501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115908801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115909201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115909401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115909801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115909901;4;1;1;1;1;0;0;1;1;;1;;;;                                                            ;
Pop1 Individu;115910101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115910401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;115910501;4;2;2;;;;;;;;;;;;                                                            ;
